在,0,0.178163924,7,12811.05,P,0,
沙漠,0.178163924,0.716673332,7,20.18,NN,1,-0.10893
岩石,0.949082656,1.434208617,7,10.58,NN,1,-0.21175
雪地,1.434208617,1.929736631,7,1.01,NN,1,-0.31141
上,1.929736631,2.145140394,7,3409.33,VV,1,-0.33908
行走,2.298190436,2.660975722,7,5.69,VV,1,-0.24572
了,2.660975722,2.751672043,7,28210.53,PU,0,
很,2.751672043,3.21649069,7,5979.28,AD,1,-0.42277
长,2.751672043,3.21649069,7,362.87,VA,1,-0.18974
的,3.21649069,3.278844411,7,50155.13,DEG,0,
时间,3.278844411,3.562270416,7,915.24,NN,1,-0.29112
以后,3.562270416,3.987409422,7,259.28,AD,1,-0.28555
小,4.633620712,4.820681875,7,1042.34,VA,1,-0.22388
王子,4.820681875,5.202208617,7,31.93,NN,1,-0.044103
终于,5.457687287,5.775124412,7,127.38,AD,1,-0.3072
发现,5.775124412,6.098230057,7,589.45,VV,1,-0.2237
了,6.098230057,6.183257858,7,28210.53,PU,0,
一,6.183257858,6.31363382,7,6069.96,CD,0,
条,6.31363382,6.489357943,7,372.86,NN,1,-0.18097
大,6.489357943,6.687756146,7,1343.24,VA,1,-0.2798
路,6.687756146,6.842208617,7,208.46,NN,1,-0.11592
所有,7.560708239,7.954208617,7,827.18,DT,0,
的,7.954208617,8.042532447,7,50155.13,DEG,0,
大,8.042532447,8.22959361,7,1343.24,VA,1,-0.52854
路,8.22959361,8.386208617,7,208.46,NN,1,-0.36013
都,8.642150078,8.79520012,7,5294.71,AD,1,-0.31482
是,8.79520012,8.931244602,7,28253.52,VC,1,-0.2641
通往,8.931244602,9.288361368,7,10.85,VV,1,-0.29402
人,9.288361368,9.46975401,7,5810.26,NN,1,-0.28148
住,9.46975401,9.622804053,7,584.32,VV,1,-0.20725
的,9.622804053,9.724837414,7,50155.13,DEG,0,
地方,9.724837414,10.0309375,7,696.29,NN,1,-0.37296
的,10.0309375,10.1726505,7,50155.13,DEG,0,
你们,11.05693963,11.26667488,7,3366.85,PN,0,
好,11.26667488,11.67480832,7,9977.13,VA,1,-0.29018
小,12.330902,12.5293002,7,1042.34,VA,1,-0.31753
王子,12.5293002,12.84673733,7,31.93,NN,1,-0.1115
说,12.84673733,13.11420862,7,6765.38,VV,1,-0.34197
这,13.92375615,14.09381175,7,8554.9,PN,0,
是,14.09381175,14.25253031,7,28253.52,VC,1,-0.52846
一,14.25253031,14.39424331,7,6069.96,CD,0,
个,14.39424331,14.6153156,7,5184,M,0,
玫瑰,14.70601192,15.0404546,7,17.53,NN,1,-0.14229
盛开,15.0404546,15.39757137,7,1.58,VV,1,-0.22155
的,15.39757137,15.47693065,7,50155.13,DEG,0,
花园,15.47693065,15.92093536,7,22.18,NN,1,-0.18542
你,16.23420862,16.53020862,7,39629.27,PN,0,
好,16.53020862,17.02062826,7,9977.13,VA,1,-0.50833
玫瑰花,17.66620862,18.12220862,7,1.97,NN,1,-0.39861
说道,18.12220862,18.51711756,7,3.16,VV,1,-0.26781
小,18.99894177,19.18475743,7,1042.34,VA,1,-0.52174
王子,19.18475743,19.5985594,7,31.93,NN,1,-0.31747
瞅,19.5985594,19.80829464,7,1.49,NN,1,0.013273
着,19.80829464,19.90465949,7,2983.65,VV,1,-0.2699
这些,19.90465949,20.19375401,7,1095.05,DT,0,
花,20.19375401,20.42616333,7,266.7,VV,1,-0.32572
它们,20.90231902,21.08938018,7,296.1,PN,0,
全,21.08938018,21.30478395,7,229.32,VA,1,-0.072268
都,21.30478395,21.40114879,7,5294.71,AD,1,-0.32876
和,21.40114879,21.53152475,7,4483.86,P,0,
他,21.53152475,21.67890627,7,11853.78,PN,0,
的,21.67890627,21.74125999,7,50155.13,DEG,0,
那,21.74125999,21.87163596,7,5666.37,PN,0,
朵,21.87163596,21.98500636,7,11.57,M,0,
花,21.98500636,22.18907308,7,266.7,VV,1,-0.43175
一样,22.18907308,22.59153801,7,860.33,VA,1,-0.35033
你们,23.26620862,23.60220862,7,3366.85,PN,0,
是,23.99016333,24.1772245,7,28253.52,VC,1,-0.34825
什么,24.1772245,24.47765606,7,7050.42,PN,0,
花,24.47765606,24.74407651,7,266.7,VV,1,-0.57377
小,25.4186304,25.60002304,7,1042.34,VA,1,-0.26034
王子,25.60002304,25.89478608,7,31.93,NN,1,-0.048195
惊奇,25.89478608,26.20088617,7,10.79,VA,1,-0.12971
地,26.20088617,26.28220862,7,536.84,NN,1,-0.17618
问道,26.28220862,26.52966033,7,0.78,VV,1,-0.11378
我们,27.25020862,27.85402264,7,11080.02,PN,0,
是,28.08076344,28.25081904,7,28253.52,VC,1,-0.48595
玫瑰花,28.25081904,29.04441186,7,1.97,NN,1,-0.37996
花儿,29.52056754,29.96271211,7,3.22,NN,1,-0.25306
们,29.52056754,29.96271211,7,1191.12,NN,1,-0.35849
说道,29.96271211,30.38946488,7,3.16,VV,1,-0.20545
他,31.39846145,31.54017445,7,11853.78,PN,0,
感到,31.54017445,32.05820862,7,197.1,VV,1,-0.4152
自己,32.05820862,32.38478395,7,1728.29,PN,0,
非常,32.38478395,32.71355811,7,804.14,AD,1,-0.49201
不幸,32.71355811,33.11035452,7,65.82,VA,1,-0.31774
他,33.71121765,33.87560473,7,11853.78,PN,0,
的,33.87560473,33.95496401,7,50155.13,DEG,0,
那,33.95496401,34.09020862,7,5666.37,PN,0,
朵,34.09020862,34.22326684,7,11.57,M,0,
花,34.22326684,34.48968729,7,266.7,VV,1,-0.14239
曾,34.48968729,34.69942253,7,150.57,AD,1,-0.14426
对,34.69942253,34.80145589,7,3958.83,VA,1,-0.4572
他,34.80145589,34.97718001,7,11853.78,PN,0,
说,34.97718001,35.20958934,7,6765.38,VV,1,-0.45426
她,35.68007651,35.80478395,7,6600.39,PN,0,
是,35.80478395,35.93515991,7,28253.52,VC,1,-0.41573
整个,35.93515991,36.28660815,7,199.6,DT,0,
宇宙,36.28660815,36.59837676,7,30.08,NN,1,-0.22757
中,36.59837676,36.79677496,7,1039.21,NR,1,-0.37436
独一无二,36.94620862,37.56769369,7,10.43,VV,1,-0.29783
的,37.56769369,37.66900382,7,50155.13,DEG,0,
一,37.66900382,37.7483631,7,6069.96,CD,0,
种,37.7483631,37.89574463,7,468.48,VV,1,-0.22521
花,37.89574463,38.12248543,7,266.7,VV,1,-0.30438
可是,38.56463,39.03420862,7,349.93,AD,1,-0.36458
仅,39.49993581,39.67565993,7,48.56,AD,1,-0.26175
在,39.67565993,39.78336181,7,12811.05,P,0,
这,39.78336181,39.93641186,7,8554.9,PN,0,
一,39.93641186,40.07812486,7,6069.96,CD,0,
座,40.07812486,40.2311749,7,93.36,NN,1,-0.12229
花园,40.2311749,40.53727499,7,22.18,NN,1,-0.14274
里,40.53727499,40.77020862,7,1886.22,NN,1,-0.39717
就,41.18174075,41.32912228,7,8246.34,AD,1,-0.31276
有,41.32912228,41.45949824,7,8618.15,VE,1,-0.36376
五千,41.45949824,41.82228352,7,5.28,CD,0,
朵,41.82228352,41.95265949,7,11.57,M,0,
完全,41.95265949,42.26442809,7,359.74,AD,1,-0.39105
一样,42.26442809,42.5478541,7,860.33,VA,1,-0.41899
的,42.5478541,42.70090414,7,50155.13,DEG,0,
这种,42.70090414,42.95598754,7,435.66,NR,1,-0.37259
花朵,42.95598754,43.35278395,7,3.61,NN,1,-0.30645
小,44.1860564,44.37311756,7,1042.34,VA,1,-0.23929
王子,44.37311756,44.83793621,7,31.93,NN,1,-0.048899
自言自语,44.92296401,45.44959832,7,3.7,NN,1,-0.26809
地,45.44959832,45.56296872,7,536.84,NN,1,-0.3225
说,45.56296872,45.94275957,7,6765.38,VV,1,-0.38717
如果,46.82138018,47.34288403,7,2277.94,CS,0,
她,47.73401192,47.94941568,7,6600.39,PN,0,
看到,47.94941568,48.24417873,7,798.38,VV,1,-0.46942
这些,48.24417873,48.66364921,7,1095.05,DT,0,
她,49.26145763,49.40883915,7,6600.39,PN,0,
是,49.40883915,49.56188919,7,28253.52,VC,1,-0.40373
一定,49.56188919,49.82830964,7,604.33,AD,1,-0.38466
会,49.82830964,49.96435412,7,7927.17,VV,1,-0.3674
很,49.96435412,50.10606712,7,5979.28,AD,1,-0.49199
恼火,50.10606712,50.57655429,7,6.59,VA,1,-0.24068
她,51.16608038,51.29645634,7,6600.39,PN,0,
会,51.29645634,51.42116378,7,7927.17,VV,1,-0.55257
咳嗽,51.42116378,51.77820862,7,5.66,VV,1,-0.38919
得,51.77820862,51.88598243,7,3135.62,VV,1,-0.39024
更,51.88598243,52.07739815,7,961.44,AD,1,-0.44397
厉害,52.07739815,52.50820568,7,75.48,VA,1,-0.28566
并且,53.14307993,53.68220862,7,130.83,AD,1,-0.49835
为,54.09820862,54.22576727,7,1358.26,P,0,
避免,54.22576727,54.56020995,7,26.83,VV,1,-0.40666
让,54.56020995,54.65090627,7,3690.67,VV,1,-0.56816
人,54.65090627,54.80962484,7,5810.26,NN,1,-0.31915
耻笑,54.80962484,55.23420862,7,0.45,VV,1,-0.33318
她,55.65990285,55.77894177,7,6600.39,PN,0,
会,55.77894177,55.879476,7,7927.17,VV,1,-0.62689
佯装,55.879476,56.16220862,7,0.45,VV,1,-0.33099
死去,56.16220862,56.80911329,7,58.84,VV,1,-0.14989
那么,57.56869498,58.05051919,7,1245.85,AD,1,-0.451
我,58.59469712,58.702399,7,50147.83,PN,0,
还,58.702399,58.8724546,7,3884.93,AD,1,-0.45216
得,58.8724546,58.98015648,7,3135.62,VV,1,-0.38558
装,58.98015648,59.19556025,7,149.23,VV,1,-0.22196
