当	P

我	PN

还	AD

只有	AD

六	CD

岁	M

的	DEG

时候	NN

在	P

一	CD

本	DT

描写	VV

原始	VA

森林	NN

的	DEG

名	NN

叫	VV

真实	VA

的	DEG

故事	NN

的	DEG

书	NN

中	NR

看到	VV

了	PU

一	CD

幅	M

精彩	VA

的	DEG

插画	NN

画	NN

的	DEG

是	VC

一	CD

条	NN

蟒蛇	NN

正在	AD

吞食	VV

一	CD

只	AD

大	VA

野兽	NN

页头	NN

上	VV

就	AD

是	VC

那	PN

幅	M

画	NN

的	DEG

摹本	NN

这	PN

本	DT

书	NN

中	NR

写道	VV

这些	DT

蟒蛇	NN

把	BA

它们	PN

的	DEG

猎获物	NR

不	AD

加	VV

咀嚼	VV

地	NN

囫囵	VV

吞	VV

下	VV

尔后	AD

就	AD

不	AD

能	VV

再	AD

动弹	VV

了	PU

他们	PN

就	AD

在	P

长长	VA

的	DEG

六	CD

个	M

月	NN

的	DEG

睡眠	NN

中	NR

消化	VV

这些	DT

食物	NN

当时	NT

我	PN

对	VA

丛林	NN

中	NR

的	DEG

奇遇	NN

想	VV

得	VV

很	AD

朵	M

于是	AD

我	PN

也	AD

用	VV

彩色	NN

铅笔	NN

画	NN

出	VV

了	PU

我	PN

的	DEG

第一	OD

幅	M

图画	NN

我	PN

的	DEG

第一	OD

号	NN

作品	NN

它	PN

是	VC

这样	VA

的	DEG

我	PN

把	BA

我	PN

的	DEG

这	PN

幅	M

杰作	NN

拿	VV

给	VV

大人	NN

看	VV

我	PN

问	VV

他们	PN

我	PN

的	DEG

画	NN

是	VC

不	AD

是	VC

叫	VV

他们	PN

害怕	VV

他们	PN

回答	VV

我	PN

说	VV

害怕	VV

一	CD

顶	NN

帽子	NN

有	VE

什么	PN

可怕	VA

的	DEG

我	PN

画	NN

的	DEG

