我 157.26 157.35
就 157.35 157.49
这样 157.49 157.78
孤独 157.78 158.14
地 158.14 158.21
生活 158.21 158.65
着 158.65 158.86
没有 159.59 159.84
一 159.84 159.96
个 159.96 160.05
能 160.05 160.2
真正 160.2 160.5
谈 160.5 160.7
得 160.7 160.75
来 160.75 160.91
的 160.91 160.97
人 160.97 161.18
一直 161.77 161.99
到 161.99 162.11
六 162.11 162.24
年 162.24 162.43
前 162.43 162.73
在 163.11 163.26
撒哈拉 163.26 163.7
沙漠 163.7 164.04
上 164.04 164.28
发生 164.33 164.63
了 164.63 164.74
那 164.74 164.87
次 164.87 165
故障 165 165.43
我 166.13 166.25
的 166.25 166.34
发动机 166.34 166.81
里 166.81 166.94
有 166.94 167.03
个 167.03 167.14
东西 167.14 167.41
损坏 167.41 167.84
了 167.84 167.98
当时 168.75 169.02
由于 169.02 169.4
我 169.61 169.72
既 169.72 169.89
没有 169.89 170.16
带 170.16 170.32
机械师 170.32 170.86
也 171.11 171.21
没有 171.21 171.4
带 171.4 171.6
旅客 171.6 171.99
我 172.67 172.77
就 172.77 172.89
试图 172.89 173.29
独自 173.48 173.79
完成 173.79 174.09
这个 174.09 174.28
困难 174.28 174.57
的 174.57 174.67
维修 174.67 174.93
工作 174.93 175.31
这 176.16 176.3
对 176.3 176.4
我 176.4 176.53
来说 176.53 176.88
是 177.15 177.31
个 177.31 177.4
生 177.4 177.63
与 177.63 177.76
死 177.76 177.97
的 178.02 178.11
问题 178.11 178.56
我 179.25 179.37
随身 179.37 179.74
带 179.74 179.86
的 179.86 179.95
水 179.95 180.21
只 180.47 180.61
够 180.61 180.75
饮用 180.75 181.05
一 181.05 181.23
星期 181.23 181.7
第一 182.6 182.78
天 182.78 182.94
晚上 182.94 183.35
我 183.73 183.86
就 183.86 183.99
睡 183.99 184.16
在 184.16 184.3
这 184.3 184.41
远离 184.41 184.75
人间 184.75 185.05
烟火 185.05 185.35
的 185.35 185.46
大 185.46 185.58
沙漠 185.58 185.93
上 185.93 186.15
我 186.83 186.94
比 186.94 187.08
大海 187.08 187.42
中 187.42 187.66
伏 187.88 188
在 188 188.13
小 188.13 188.28
木排 188.28 188.64
上 188.64 188.77
的 188.77 188.88
遇难者 188.88 189.36
还 189.58 189.77
要 189.77 189.92
孤独 189.92 190.21
